id,barangay_id,document,released_at
5c777e5e-b87c-4a7f-9439-94cf116ddc39,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Indigency,2026-04-13T02:24:59.03751+00:00
3dab6339-2ba7-44e5-8670-52a01737d0a0,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-16T04:55:01.327063+00:00
210f54d5-7c5c-44d8-908a-ec3b80089c60,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-13T05:59:19.896563+00:00
18c82bb0-91df-43fc-8bfe-9da08acfccf6,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-13T05:59:31.735078+00:00
21bc0ede-4fd6-4fe7-8171-dee3ca1ed654,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-16T06:16:46.396464+00:00
33857dc7-4ac7-46cd-b54a-46c0d7c99c8a,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-13T06:50:02.681847+00:00
d87c3185-faef-490b-b859-12ef70c8cff3,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-13T07:28:08.400004+00:00
18d270d6-7717-4b3f-b527-975cb9475955,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Indigency,2026-04-16T06:16:48.066061+00:00
06615f1e-b440-4d66-b74b-a18691559c58,e316bc08-8bd3-401f-ab65-e2e0165974cf,Barangay Clearance,2026-04-13T07:29:34.064381+00:00
def36f9f-abec-4d80-b6c2-aca4374e5357,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-16T06:16:49.562232+00:00
95c256e2-ebf3-4c85-a0c4-ee520756e192,e316bc08-8bd3-401f-ab65-e2e0165974cf,Barangay Clearance,2026-04-13T07:29:37.120487+00:00
6f65c4e9-c360-4ead-87ab-50d2082c66d0,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-16T06:16:50.325035+00:00
b7da7851-f8fe-4cf3-842f-da4aec5b7179,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certification PDA,2026-04-13T08:19:41.354388+00:00
ca01032d-427f-47b2-a558-e23170fe8bfe,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-16T06:16:51.90494+00:00
3c06a727-1761-483e-8603-303a1719db6a,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-13T09:16:54.3809+00:00
5694addc-c3e4-4283-9542-dd5c55b53671,e316bc08-8bd3-401f-ab65-e2e0165974cf,Certificate of Indigency,2026-04-13T09:17:41.989287+00:00
1c368f3d-3c65-48a6-ac18-a8bc9200473a,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-16T06:16:53.380608+00:00
c85fab36-34ec-4b58-98be-f2c0d58884a9,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-13T09:43:48.817934+00:00
044ef54b-1f3e-4045-9b28-8212cb0908ed,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Residency,2026-04-13T09:52:56.291807+00:00
090b9fdb-6a61-42dd-99b7-f5882fa8df55,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Indigency,2026-04-13T09:53:06.298706+00:00
0e836d52-63f3-4a78-83e1-981bc61375f6,e316bc08-8bd3-401f-ab65-e2e0165974cf,Barangay Certification,2026-04-14T00:40:42.333112+00:00
a414d20f-1baa-43a4-a53c-548ff76a54b5,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-14T00:49:09.133068+00:00
bac6f26f-45ca-4da8-a4c7-476055d1633c,e316bc08-8bd3-401f-ab65-e2e0165974cf,Barangay Clearance,2026-04-14T01:03:16.939173+00:00
9ce9f387-8cd3-4969-85b4-2eb1b6ac809a,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Certification,2026-04-14T07:01:45.27914+00:00
bef8b57d-ab5c-401c-930a-f1c63f66577f,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Indigency,2026-04-14T12:40:20.959505+00:00
7595f47a-0caa-428e-a750-6a5329a3f81c,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay ID,2026-04-14T12:53:02.737299+00:00
e051848e-285d-4d89-b9e3-a322e2567bc3,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Residency,2026-04-14T13:01:31.504088+00:00
898a3601-cae8-4041-a279-e9b949ca5d34,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Indigency,2026-04-14T13:01:36.352814+00:00
f8bd1346-14f2-4e81-bd4e-73266e273438,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Residency,2026-04-14T13:02:43.957982+00:00
d966c79b-f0cd-4a82-929d-f7dd6dcd902e,d5f0122d-be85-4476-b11a-0da15c8d8429,Certificate of Indigency,2026-04-14T13:09:58.312839+00:00
24c15c1b-3ffe-4efd-8df0-1e04f294bd1c,d5f0122d-be85-4476-b11a-0da15c8d8429,Barangay Clearance,2026-04-14T15:11:49.261996+00:00
